============================================================================
--------------------------------
Processing add.v.lemma
--------------------------------
	Number of test instances = 100
adding positional word information to wordstream
make: `hdp' is up to date.

Program starts with following parameters:
algorithm:          = train
data_path:          = topicmodel_output/hdpdata.train.txt
directory:          = topicmodel_output
max_iter            = 300
save_lag            = -1
init_topics         = 0
random_seed         = 1372179636
gamma_a             = 1.00
gamma_b             = 0.10
alpha_a             = 1.00
alpha_b             = 1.00
eta                 = 0.50
#restricted_scans   = 5
split-merge         = no
sampling hyperparam = no

reading data from topicmodel_output/hdpdata.train.txt
number of docs  : 299
number of terms : 73
number of total words : 1524
starting with 4 topics 
iter = 00000, #topics = 0004, #tables = 0585, gamma = 0.10000, alpha = 1.00000, likelihood = -6747.97381
iter = 00001, #topics = 0004, #tables = 0625, gamma = 0.10000, alpha = 1.00000, likelihood = -6838.40981
iter = 00002, #topics = 0004, #tables = 0614, gamma = 0.10000, alpha = 1.00000, likelihood = -6769.54815
iter = 00003, #topics = 0004, #tables = 0626, gamma = 0.10000, alpha = 1.00000, likelihood = -6791.74504
iter = 00004, #topics = 0004, #tables = 0611, gamma = 0.10000, alpha = 1.00000, likelihood = -6750.10845
iter = 00005, #topics = 0005, #tables = 0583, gamma = 0.10000, alpha = 1.00000, likelihood = -6714.57316
iter = 00006, #topics = 0005, #tables = 0602, gamma = 0.10000, alpha = 1.00000, likelihood = -6773.58857
iter = 00007, #topics = 0005, #tables = 0566, gamma = 0.10000, alpha = 1.00000, likelihood = -6734.82398
iter = 00008, #topics = 0005, #tables = 0584, gamma = 0.10000, alpha = 1.00000, likelihood = -6806.16938
iter = 00009, #topics = 0005, #tables = 0596, gamma = 0.10000, alpha = 1.00000, likelihood = -6744.82300
iter = 00010, #topics = 0005, #tables = 0609, gamma = 0.10000, alpha = 1.00000, likelihood = -6771.93030
iter = 00011, #topics = 0006, #tables = 0579, gamma = 0.10000, alpha = 1.00000, likelihood = -6693.21327
iter = 00012, #topics = 0006, #tables = 0593, gamma = 0.10000, alpha = 1.00000, likelihood = -6746.71371
iter = 00013, #topics = 0006, #tables = 0569, gamma = 0.10000, alpha = 1.00000, likelihood = -6735.01311
iter = 00014, #topics = 0005, #tables = 0601, gamma = 0.10000, alpha = 1.00000, likelihood = -6757.93914
iter = 00015, #topics = 0005, #tables = 0601, gamma = 0.10000, alpha = 1.00000, likelihood = -6753.66959
iter = 00016, #topics = 0005, #tables = 0606, gamma = 0.10000, alpha = 1.00000, likelihood = -6718.59721
iter = 00017, #topics = 0005, #tables = 0593, gamma = 0.10000, alpha = 1.00000, likelihood = -6759.18691
iter = 00018, #topics = 0005, #tables = 0611, gamma = 0.10000, alpha = 1.00000, likelihood = -6811.11432
iter = 00019, #topics = 0006, #tables = 0575, gamma = 0.10000, alpha = 1.00000, likelihood = -6750.60911
iter = 00020, #topics = 0006, #tables = 0588, gamma = 0.10000, alpha = 1.00000, likelihood = -6828.47713
iter = 00021, #topics = 0006, #tables = 0572, gamma = 0.10000, alpha = 1.00000, likelihood = -6809.33114
iter = 00022, #topics = 0006, #tables = 0577, gamma = 0.10000, alpha = 1.00000, likelihood = -6796.95989
iter = 00023, #topics = 0006, #tables = 0592, gamma = 0.10000, alpha = 1.00000, likelihood = -6756.44912
iter = 00024, #topics = 0006, #tables = 0567, gamma = 0.10000, alpha = 1.00000, likelihood = -6698.48581
iter = 00025, #topics = 0006, #tables = 0579, gamma = 0.10000, alpha = 1.00000, likelihood = -6701.61997
iter = 00026, #topics = 0006, #tables = 0561, gamma = 0.10000, alpha = 1.00000, likelihood = -6657.62859
iter = 00027, #topics = 0006, #tables = 0570, gamma = 0.10000, alpha = 1.00000, likelihood = -6702.50227
iter = 00028, #topics = 0007, #tables = 0591, gamma = 0.10000, alpha = 1.00000, likelihood = -6724.24425
iter = 00029, #topics = 0006, #tables = 0586, gamma = 0.10000, alpha = 1.00000, likelihood = -6679.11907
iter = 00030, #topics = 0006, #tables = 0582, gamma = 0.10000, alpha = 1.00000, likelihood = -6626.16460
iter = 00031, #topics = 0006, #tables = 0597, gamma = 0.10000, alpha = 1.00000, likelihood = -6752.92317
iter = 00032, #topics = 0006, #tables = 0588, gamma = 0.10000, alpha = 1.00000, likelihood = -6737.62254
iter = 00033, #topics = 0006, #tables = 0596, gamma = 0.10000, alpha = 1.00000, likelihood = -6696.65868
iter = 00034, #topics = 0007, #tables = 0600, gamma = 0.10000, alpha = 1.00000, likelihood = -6677.89666
iter = 00035, #topics = 0007, #tables = 0572, gamma = 0.10000, alpha = 1.00000, likelihood = -6669.97059
iter = 00036, #topics = 0006, #tables = 0614, gamma = 0.10000, alpha = 1.00000, likelihood = -6760.16864
iter = 00037, #topics = 0006, #tables = 0574, gamma = 0.10000, alpha = 1.00000, likelihood = -6689.34431
iter = 00038, #topics = 0006, #tables = 0590, gamma = 0.10000, alpha = 1.00000, likelihood = -6739.54094
iter = 00039, #topics = 0006, #tables = 0575, gamma = 0.10000, alpha = 1.00000, likelihood = -6686.70679
iter = 00040, #topics = 0006, #tables = 0583, gamma = 0.10000, alpha = 1.00000, likelihood = -6718.60322
iter = 00041, #topics = 0006, #tables = 0601, gamma = 0.10000, alpha = 1.00000, likelihood = -6761.82168
iter = 00042, #topics = 0006, #tables = 0591, gamma = 0.10000, alpha = 1.00000, likelihood = -6746.78232
iter = 00043, #topics = 0006, #tables = 0590, gamma = 0.10000, alpha = 1.00000, likelihood = -6705.14974
iter = 00044, #topics = 0006, #tables = 0605, gamma = 0.10000, alpha = 1.00000, likelihood = -6757.16268
iter = 00045, #topics = 0006, #tables = 0590, gamma = 0.10000, alpha = 1.00000, likelihood = -6727.61526
iter = 00046, #topics = 0006, #tables = 0589, gamma = 0.10000, alpha = 1.00000, likelihood = -6720.13427
iter = 00047, #topics = 0006, #tables = 0615, gamma = 0.10000, alpha = 1.00000, likelihood = -6717.52684
