d w z t
300 4296 4 0
300 7927 4 0
300 5417 4 0
300 4296 4 1
300 7927 4 1
300 7952 4 0
300 8402 4 1
300 7397 1 2
300 5529 4 0
300 3717 4 0
300 7952 4 0
300 8448 4 1
300 5417 4 1
300 60 1 2
300 3717 4 1
300 4296 4 1
300 1552 4 0
300 8448 4 0
300 4369 4 0
300 4296 4 0
300 4296 4 0
300 4296 4 0
300 8010 4 0
300 7164 4 1
300 3710 1 2
300 4296 4 0
300 4369 4 0
300 60 4 0
300 1800 4 1
300 8551 1 2
300 5520 4 1
300 8402 4 0
300 1762 4 0
300 7927 4 1
300 4296 4 0
300 1762 4 0
300 1800 4 0
300 3717 1 2
300 5529 4 1
300 7927 4 0
300 5417 4 1
300 8448 4 0
300 5417 4 0
300 4296 4 1
300 7952 4 0
300 8550 4 0
300 4296 4 0
300 4296 4 0
300 1762 4 0
300 7164 4 0
300 4296 4 0
300 3339 1 2
300 1762 4 1
300 5417 4 0
300 5417 4 1
300 5417 4 0
300 7952 4 0
300 5417 4 1
300 4775 4 0
300 2372 1 2
300 8485 4 1
300 7164 4 1
300 2372 1 2
300 4296 4 1
300 7927 4 0
300 4296 4 1
518 1748 1 1
518 1800 4 2
518 2197 3 0
518 3966 3 0
606 1744 0 0
606 1741 0 0
606 1740 0 0
606 1741 0 1
606 1740 0 0
606 1744 0 0
606 1743 0 3
606 1743 0 0
606 1745 0 0
606 1745 0 0
606 1742 0 0
606 1744 0 0
606 1743 0 0
606 1742 0 0
606 1742 0 0
606 1744 0 0
606 1744 0 0
606 1740 0 0
606 1743 0 0
606 1742 0 0
606 1741 0 2
606 1741 0 0
606 1740 0 0
606 1745 0 3
606 1742 0 0
606 1745 0 0
606 1742 0 1
606 1741 0 0
606 1745 0 0
606 1741 0 0
606 1743 0 0
606 1745 0 0
606 1744 0 0
606 1744 0 0
606 1745 0 0
606 1743 0 0
606 1741 0 0
606 1741 0 0
606 1743 0 0
606 1744 0 0
606 1741 0 0
606 1742 0 1
606 1741 0 0
606 1741 0 0
606 1740 0 0
606 1745 0 0
606 1740 0 0
606 1743 0 0
606 1745 0 0
606 1744 0 0
606 1742 0 0
606 1740 0 0
606 1744 0 0
606 1742 0 0
606 1743 0 0
606 1745 0 0
606 1743 0 0
606 1740 0 0
606 1745 0 0
606 1745 0 0
606 1742 0 0
606 1741 0 0
606 1741 0 0
606 1745 0 0
606 1742 0 3
606 1744 0 0
606 1745 0 0
606 1744 0 0
606 1740 0 0
606 1741 0 0
606 1740 0 0
606 1741 0 2
606 1743 0 0
606 1744 0 0
606 1742 0 0
606 1745 0 0
606 1742 0 0
606 1741 0 0
606 1745 0 0
606 1744 0 0
606 1740 0 0
606 1740 0 0
606 1745 0 0
606 1742 0 0
606 1744 0 0
606 1743 0 0
606 1744 0 0
606 1744 0 0
606 1743 0 0
606 1745 0 0
606 1740 0 0
606 1741 0 0
606 1741 0 0
606 1743 0 0
606 1744 0 0
606 1742 0 0
606 1744 0 0
606 1743 0 2
606 1745 0 0
606 1743 0 0
606 1745 0 0
606 1743 0 0
606 1740 0 0
606 1742 0 0
606 1741 0 0
606 1741 0 2
606 1744 0 2
606 1743 0 0
606 1744 0 0
606 1745 0 2
606 1744 0 2
606 1742 0 0
606 1742 0 3
606 1741 0 0
606 1744 0 0
606 1742 0 0
606 1741 0 0
606 1743 0 0
606 1741 0 0
606 1741 0 0
606 1745 0 0
606 1742 0 0
606 1743 0 0
606 1742 0 0
606 1742 0 2
606 1745 0 0
606 1740 0 0
606 1741 0 0
606 1742 0 1
606 1743 0 4
606 1740 0 0
606 1740 0 0
606 1743 0 0
606 1742 0 0
606 1743 0 0
606 1741 0 0
606 1741 0 0
606 1743 0 0
606 1741 0 0
606 1740 0 0
606 1744 0 1
606 1740 0 0
606 1740 0 0
606 1742 0 0
606 1744 0 0
606 1741 0 0
606 1745 0 0
606 1742 0 4
606 1744 0 0
606 1740 0 0
606 1740 0 0
606 1743 0 0
606 1744 0 0
606 1742 0 0
606 1743 0 0
606 1743 0 0
606 1745 0 0
606 1740 0 1
606 1744 0 0
606 1741 0 0
606 1744 0 0
606 1743 0 0
606 1744 0 0
606 1742 0 0
606 1743 0 0
606 1745 0 3
606 1741 0 0
606 1740 0 0
606 1743 0 3
606 1741 0 0
606 1744 0 0
606 1745 0 0
606 1744 0 0
606 1745 0 0
606 1740 0 0
606 1741 0 0
606 1743 0 0
606 1745 0 0
606 1741 0 0
606 1743 0 0
606 1740 0 0
606 1743 0 0
606 1745 0 0
606 1745 0 2
606 1740 0 0
606 1744 0 0
